hlasovani_id,zasedani,cislo,datum,predmet,vysledek,zdroj_id,url,pritomno,ano,ne,zdrzel_se,nehlasoval,kontrola,omezeni,platnost_dle_zapisu,pouzitelne_pro_statistiky
Z9-36-027,Z9/36,27,2026-06-23,"35. Zapojení Fondu rezerv a rozvoje v souvislosti s poskytnutím účelových neinvestičních příspěvků Národnímu divadlu Brno, příspěvkové organizaci, v roce 2026 – návrh rozpočtového opatření",Přijato,97a3c483b92f4eb6,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-27-55675.html,47,43,0,0,4,ok,,není označeno jako neplatné,ano
Z9-36-028,Z9/36,28,2026-06-23,"36. Zapojení Fondu rezerv a rozvoje v souvislosti s poskytnutím investičního transferu městské části Brno–Žebětín na akci „Víceúčelové sportoviště Brno–Žebětín“ – návrh rozpočtového opatření, 37. Zapojení Fondu rezerv a rozvoje v souvislosti s poskytnutím individuální investiční dotace spolku SK Řečkovice, z. s. na projekt „Nástavba, přístavba a stavební úpravy provozní budovy SK Řečkovice, z. s.“ – návrh rozpočtového opatření",Neplatné podle zápisu,bdb4f4c52ef77fd2,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-28-55708.html,47,46,0,0,1,ok,Neplatné hlasování podle zveřejněného zápisu; zachováno jen pro dokumentaci.,neplatné,ne
Z9-36-029,Z9/36,29,2026-06-23,38. Zapojení Fondu rezerv a rozvoje v souvislosti s poskytnutím individuální investiční dotace Biskupství brněnskému na vybudování Biskupské základní školy G.J. Mendela – návrh rozpočtového opatření,Přijato,a6a007d6bd034277,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-29-55742.html,47,41,0,4,2,ok,,není označeno jako neplatné,ano
Z9-36-030,Z9/36,30,2026-06-23,Body č. 39-42,Přijato,40dc44c3da0dba32,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-30-55784.html,47,45,0,0,2,ok,,není označeno jako neplatné,ano
Z9-36-031,Z9/36,31,2026-06-23,"43. Zapojení Fondu rezerv a rozvoje v souvislosti s poskytnutím a navýšením investičního příspěvku Správě hřbitovů města Brna, příspěvkové organizaci, návrh rozpočtového opatření",Přijato,eae7cc9328c2c641,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-31-55836.html,47,38,4,3,2,ok,,není označeno jako neplatné,ano
Z9-36-032,Z9/36,32,2026-06-23,"37. Zapojení Fondu rezerv a rozvoje v souvislosti s poskytnutím individuální investiční dotace spolku SK Řečkovice, z. s. na projekt „Nástavba, přístavba a stavební úpravy provozní budovy SK Řečkovice, z. s.“ – návrh rozpočtového opatření",Přijato,d1e8f60577a941c0,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-32-55954.html,47,44,0,0,3,ok,,není označeno jako neplatné,ano
Z9-36-033,Z9/36,33,2026-06-23,44. Návrh na poskytnutí peněžitého daru Nadačnímu fondu Josefů K. – návrh rozpočtového opatření,Přijato,3331dbcb55a4d861,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-33-55982.html,47,40,0,4,3,ok,,není označeno jako neplatné,ano
Z9-36-034,Z9/36,34,2026-06-23,"45. Návrh na poskytnutí daru Ptačímu centru o.p.s., návrh rozpočtového opatření",Přijato,7d2dd2a1369a7719,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-34-56016.html,47,46,0,0,1,ok,,není označeno jako neplatné,ano
Z9-36-035,Z9/36,35,2026-06-23,46. Návrh na poskytnutí investičních dotací v rámci dotačního programu Podpora vytváření zelených střech,Přijato,93d23cdeb7b1a871,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-35-56070.html,47,40,0,4,3,ok,,není označeno jako neplatné,ano
Z9-36-036,Z9/36,36,2026-06-23,"47. Návrh na poskytnutí individuální neinvestiční dotace společnosti Společně, o.p.s., na podporu akce Mendel festival 2026 – návrh rozpočtového opatření",Přijato,62a53149a9e5f199,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-36-56102.html,47,37,0,6,4,ok,,není označeno jako neplatné,ano
Z9-36-037,Z9/36,37,2026-06-23,48. Návrh na poskytnutí individuální neinvestiční dotace na provoz a vybavení jednotek Hasičského záchranného sboru Jihomoravského kraje,Přijato,75b4dc24cd08fe8a,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-37-56133.html,47,45,0,0,2,ok,,není označeno jako neplatné,ano
Z9-36-038,Z9/36,38,2026-06-23,49. Návrh na poskytnutí víceletých individuálních neinvestičních dotací z rozpočtu města Brna v oblasti kultury v letech 2027–2029,Přijato,e455e82d2e2cc0bf,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-38-56165.html,47,41,0,3,3,ok,,není označeno jako neplatné,ano
Z9-36-039,Z9/36,39,2026-06-23,"50. Návrh na poskytnutí individuální neinvestiční dotace z rozpočtu města Brna na rok 2026 společnosti PLUM PRODUCTION, s. r. o., na projekt ""Trůny pozemské a nadzemské"" – návrh rozpočtového opatření",Přijato,a6bd73459ff45611,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-39-56195.html,47,35,4,1,7,ok,,není označeno jako neplatné,ano
Z9-36-040,Z9/36,40,2026-06-23,"51. Návrh na poskytnutí individuální neinvestiční dotace z rozpočtu města Brna v letech 2027–2028 spolku Sdružení přátel folkloru v Brně z. s. na projekt ""Mezinárodní folklorní festival Brno""",Přijato,eb8a16efe8ec0ea8,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-40-56224.html,47,43,0,0,4,ok,,není označeno jako neplatné,ano
Z9-36-041,Z9/36,41,2026-06-23,"52. Návrh na poskytnutí individuální neinvestiční dotace z rozpočtu města Brna na rok 2026 organizaci Jihomoravské dobrovolnické centrum z. s., návrh rozpočtového opatření",Přijato,e6358dd6644a26d2,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-41-56251.html,47,44,0,0,3,ok,,není označeno jako neplatné,ano
Z9-36-042,Z9/36,42,2026-06-23,53. Návrh na poskytnutí individuálních neinvestičních dotací v oblasti školství a mládeže na rok 2026 – návrh rozpočtového opatření,Přijato,959e554ed6c7d76e,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-42-56278.html,47,43,0,0,4,ok,,není označeno jako neplatné,ano
