id,url,kategorie,nazev,stazeno_utc,http_status,konecna_url,content_type,stav,chyba
f9ab44b0f10ffc89,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/,ostatni,,2026-09-18T13:34:50Z,403,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/,text/html; charset=iso-8859-1,chyba,403 Client Error: Forbidden for url: https://apl.brno.cz/protokoly-zmb/zmb-z9-36/
99d1227982c6f33f,https://www.volby.gov.cz/pls/kv2022/kv1111?xjazyk=CZ&xid=1&xdz=3&xnumnuts=6202&xobec=582786&xstat=0&xvyber=0,ostatni,,2026-09-18T13:34:51Z,,,,chyba,"HTTPSConnectionPool(host='www.volby.gov.cz', port=443): Max retries exceeded with url: /pls/kv2022/kv1111?xjazyk=CZ&xid=1&xdz=3&xnumnuts=6202&xobec=582786&xstat=0&xvyber=0 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f76642cd060>: Failed to resolve 'www.volby.gov.cz' ([Errno -2] Name or service not known)""))"
303d1402750b7da3,https://www.volby.cz/pls/kv2022/kv21111?xjazyk=CZ&xid=1&xv=12&xdz=3&xnumnuts=6202&xobec=582786&xstrana=0,index,,2026-09-18T13:37:08Z,,,,chyba,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
6cda2ba3674c1260,https://volby.gov.cz/pls/kv2022/kv1111?xjazyk=CZ&xid=1&xdz=3&xnumnuts=6202&xobec=582786&xstat=0&xvyber=0,index,,2026-09-18T13:37:08Z,,,,chyba,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
a84d10ae7632b83d,https://upmb.brno.cz/wp-content/uploads/2026/04/IZ_prehled_UPD-a-UPP_4_2026.pdf,kontext_overeni,,2026-09-18T14:05:27Z,404,https://upmb.brno.cz/wp-content/uploads/2026/04/IZ_prehled_UPD-a-UPP_4_2026.pdf,text/html; charset=UTF-8,chyba,404 Client Error: Not Found for url: https://upmb.brno.cz/wp-content/uploads/2026/04/IZ_prehled_UPD-a-UPP_4_2026.pdf
d037c8a8daf7c363,https://cosedeje.brno.cz/w/diky-virtualnimu-modelu-se-verejnost-na-vystavisti-projde-novym-brnenskym-hlavnim-nadrazim-v-realne-velikostiDíky virtuálnímu modelu se veřejnost na výstavišti projde novým brněnským hlavním nádražím v reálné velikosti,projekt_plna_zprava,2025-08-27 Díky virtuálnímu modelu se veřejnost na výstavišti projde novým brněnským hlavním nádražím v reálné…,2026-09-18T14:22:40Z,404,https://cosedeje.brno.cz/w/diky-virtualnimu-modelu-se-verejnost-na-vystavisti-projde-novym-brnenskym-hlavnim-nadrazim-v-realne-velikostiD%C3%ADky%20virtu%C3%A1ln%C3%ADmu%20modelu%20se%20ve%C5%99ejnost%20na%20v%C3%BDstavi%C5%A1ti%20projde%20nov%C3%BDm%20brn%C4%9Bnsk%C3%BDm%20hlavn%C3%ADm%20n%C3%A1dra%C5%BE%C3%ADm%20v%20re%C3%A1ln%C3%A9%20velikosti,text/html;charset=UTF-8,chyba,404 Client Error: Not Found for url: https://cosedeje.brno.cz/w/diky-virtualnimu-modelu-se-verejnost-na-vystavisti-projde-novym-brnenskym-hlavnim-nadrazim-v-realne-velikostiD%C3%ADky%20virtu%C3%A1ln%C3%ADmu%20modelu%20se%20ve%C5%99ejnost%20na%20v%C3%BDstavi%C5%A1ti%20projde%20nov%C3%BDm%20brn%C4%9Bnsk%C3%BDm%20hlavn%C3%ADm%20n%C3%A1dra%C5%BE%C3%ADm%20v%20re%C3%A1ln%C3%A9%20velikosti
