zasedani,url,zapis_id
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-12-30341.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-13-30375.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-14-30408.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-15-30442.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-16-30470.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-17-30510.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-18-30541.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-19-30573.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-20-30611.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-21-32397.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-22-32430.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-23-32467.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-24-32500.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-25-32529.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-26-32561.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-27-32744.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-28-32795.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-29-32836.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-30-32873.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-31-32904.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-32-32940.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-33-32976.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-34-33005.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-35-33036.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-36-33067.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-37-33097.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-38-33125.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-39-33156.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-40-33187.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-41-33217.html,a43c0850f687c0a3
