odchazejici_id,nastupujici_id,zanik_mandatu,vznik_mandatu,zdroj_id
petra-quittova,jaroslav-suchy,2022-10-19,2022-10-20,36036d38da50510d
jitka-ivicicova,petr-borecky-1,2024-01-24,2024-01-25,198b605f95c9e2a9
petr-bauer,tomas-hejl,2024-09-04,2024-09-05,7a2e7987609bcbd0
tomas-hejl,sabina-benesova,2025-05-26,2025-05-27,1ac7d00d7789f14d
matej-hollan,matous-vencalek,2026-01-06,2026-01-07,f2d978b02f87f5fa
kristyna-cerna,pavel-jankuj,2026-03-31,2026-04-01,75ba75c42ae44f62
