id,url,kategorie,nazev,stazeno_utc,http_status,konecna_url,content_type,soubor,sha256,bajtu,stav,text,role_v_analyze,extrakce,pozadavkove_hlavicky
08614cda1a445d8c,https://tymbrno.cz/program/,kampan_2026,Volební program pro Brno 2026 | Tým pro Brno,2026-09-19T19:00:12Z,200,https://tymbrno.cz/program/,text/html,zdroje/08614cda1a445d8c.html,04257da451fe696880820c7c38deba09f51384ff73315f5e2332bc018ade7ce7,56730,ok,texty/08614cda1a445d8c.txt,Dohledaný zdroj; použití konkrétního tvrzení určuje kampane_2026_tvrzeni.csv,,
7a6b0de97db9da61,https://www.zelenebrno.cz/program/,kampan_2026,Zelené Brno – Program,2026-09-19T19:00:12Z,200,https://www.zelenebrno.cz/program/,text/html; charset=utf-8,zdroje/7a6b0de97db9da61.html,a0592d595868bf21cf681af2ef0fada39cf621af0ba1cc3252d9cacc06b5fa02,28472,ok,texty/7a6b0de97db9da61.txt,Dohledaný zdroj; použití konkrétního tvrzení určuje kampane_2026_tvrzeni.csv,,
efe3592adc38d279,https://www.tubrno.cz/aktuality/plan-jak-posunout-brno/,kampan_2026,"Plán, jak posunout Brno! - TU! Piráti a Fakt Brno",2026-09-19T19:00:12Z,200,https://www.tubrno.cz/aktuality/plan-jak-posunout-brno/,text/html; charset=UTF-8,zdroje/efe3592adc38d279.html,c8e6166a570a437fb68d74f1d9411d3a1560639c6c0ad52f57a751d49ee52eff,165466,ok,texty/efe3592adc38d279.txt,Dohledaný zdroj; použití konkrétního tvrzení určuje kampane_2026_tvrzeni.csv,,
82d11afa9ec6ce14,https://prisaha.cz/komunalni-volby/,kampan_2026,Přísaha – občanské hnutí,2026-09-19T19:00:13Z,200,https://prisaha.cz/komunalni-volby/,text/html; charset=UTF-8,zdroje/82d11afa9ec6ce14.html,3d83aacab3e1ae54e33d8fc2045a13d366ddf931fddb8f554518f630b67e216e,219718,ok,texty/82d11afa9ec6ce14.txt,Dohledaný zdroj; použití konkrétního tvrzení určuje kampane_2026_tvrzeni.csv,,
6e66f7dd268e0cd4,https://www.novinky.cz/p/vysledky-voleb/2026/komunalni-volby/obec/582786-brno/kandidati,kampan_2026,Volby 2026 a Brno - Kandidáti v komunálních volbách,2026-09-19T19:00:13Z,200,https://www.novinky.cz/p/vysledky-voleb/2026/komunalni-volby/obec/582786-brno/kandidati,text/html; charset=utf-8,zdroje/6e66f7dd268e0cd4.html,8a7e8006f9d873b7293354b89fb77780833f4b7d3e1971090f3a95453e6aa100,654597,ok,texty/6e66f7dd268e0cd4.txt,Dohledaný zdroj; použití konkrétního tvrzení určuje kampane_2026_tvrzeni.csv,,
663d7c0cd66ce1cc,https://www.ods.cz/os.brno-mesto/volby2026/komunalni,kampan_2026,Volby 2026 / Komunální volby – ODS – Občanská demokratická strana,2026-09-19T19:00:13Z,200,https://www.ods.cz/os.brno-mesto/volby2026/komunalni,text/html; charset=UTF-8,zdroje/663d7c0cd66ce1cc.html,203ed8f2f1e8c075ef3c57ab38d1b0b7ef512271402c955ec859ec171152105a,353932,ok,texty/663d7c0cd66ce1cc.txt,Dohledaný zdroj; použití konkrétního tvrzení určuje kampane_2026_tvrzeni.csv,,
2eee1ebacd8eddf1,https://www.volby.cz/opendata/kv2026/kv2026_opendata.htm,kampan_2026,Volby.gov.cz - Otevřená data pro volby do zastupitestev obcí 2026 - Český statistický úřad | ČSÚ,2026-09-19T19:00:13Z,200,https://volby.gov.cz/opendata/kv2026/kv2026_opendata.htm,text/html,zdroje/2eee1ebacd8eddf1.html,64416c94638260fcc90c5d47c87bcea71e6fcbc9384c0afa0e0cd0c56e1a0c6f,16410,ok,texty/2eee1ebacd8eddf1.txt,Dohledaný zdroj; použití konkrétního tvrzení určuje kampane_2026_tvrzeni.csv,,
385043a0f54904bb,https://www.nove-brno.cz/,kampan_2026,Nové Brno | komunální volby Brno 2026,2026-09-19T19:00:31Z,200,https://www.nove-brno.cz/,text/html; charset=UTF-8,zdroje/385043a0f54904bb.html,2cacd0d6c604663afa59d59b5a638a9dca1fe584ec90a54d63480b6a00493305,1098639,ok,texty/385043a0f54904bb.txt,Dohledaný zdroj; použití konkrétního tvrzení určuje kampane_2026_tvrzeni.csv,,
6440193d87ad61b9,https://www.starostove.cz/zastupitelstvo-mesta-brna,kampan_2026,Komunální volby do Zastupitelstva města Brna,2026-09-19T19:00:31Z,200,https://www.starostove.cz/zastupitelstvo-mesta-brna,text/html; charset=utf-8,zdroje/6440193d87ad61b9.html,b53953f84cdac6c35988ae0c3c6b9fcc500ff34a62c9adc7ee37978340024602,140913,ok,texty/6440193d87ad61b9.txt,Dohledaný zdroj; použití konkrétního tvrzení určuje kampane_2026_tvrzeni.csv,,
bf7e09132af473ae,https://volby.gov.cz/app/kv2026/cs/20261009/name-lists/%21_0_1_6200_6202_582786,kampan_2026,Volby do zastupitelstev obcí České republiky | volby.cz,2026-09-19T19:00:32Z,200,https://volby.gov.cz/app/kv2026/cs/20261009/name-lists/%21_0_1_6200_6202_582786,text/html,zdroje/bf7e09132af473ae.html,31c2eba20b01577ea741dda4cb58ea643cef956898d9e02ecbd4d78fc5d70caf,584,ok,texty/bf7e09132af473ae.txt,Dohledaný zdroj; použití konkrétního tvrzení určuje kampane_2026_tvrzeni.csv,,
