hlasovani_id,zasedani,datum,osoba_id,jmeno_v_protokolu,klub_v_protokolu,volba,volba_original,zdroj_id,pouzitelne_pro_statistiky,omezeni_protokolu,predmet,url
Z9-14-017,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,66a5ff409e7ed1c3,ano,,95. Změna v osobě v pořadí druhého náměstka primátorky města Brna - bere na vědomí,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-17-34016.html
Z9-14-016,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,2622054cdf96e87d,ano,,"8. Změna ve složení Kontrolního výboru Zastupitelstva města Brna - volba místopředsedkyně /místopředsedy Kontrolního výboru Zastupitelstva města Brna - Mgr. Sabina Benešová, DiS, LL.M.",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-16-33798.html
Z9-14-019,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,41ea25c8d6f93848,ano,,"9. Návrh změny Jednacího řádu Zastupitelstva města Brna - čl. 8, písm. b, odst. 7",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-19-35534.html
Z9-14-020,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,9316bedb5dc9f05d,ano,,9. Návrh změny Jednacího řádu Zastupitelstva města Brna,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-20-35565.html
Z9-14-021,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Nehlasoval,Nehlasoval,f505a0529a80821b,ano,,10. Přehled účastí na schůzích výborů ZMB,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-21-35601.html
Z9-14-022,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,defbac2ccb003cd1,ano,,"11. Odměňování neuvolněných členů Zastupitelstva města Brna a členů komisí Rady města Brna a výborů Zastupitelstva města Brna, kteří nejsou členy Zastupitelstva města Brna",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-22-35635.html
Z9-14-023,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,9c0dc45b50cf1393,ano,,"12. Návrh obecně závazné vyhlášky statutárního města Brna, kterou se mění obecně závazná vyhláška statutárního města Brna č. 20/2001, kterou se vydává Statut města Brna, ve znění pozdějších vyhlášek, a obecně závazná vyhláška statutárního města Brna č. 25/2023",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-23-35676.html
Z9-14-024,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,e711f7ebdc10d926,ano,,13. Návrh zřizovacích listin příspěvkových organizací v působnosti Odboru sociální péče Magistrátu města Brna,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-24-35708.html
Z9-14-025,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,e53fdc7b3fa6db6f,ano,,"14. SAKO Brno, a. s.– návrh změny stanov",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-25-35737.html
Z9-14-026,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,7e72fdc4aa60e9f4,ano,,"17. Brněnské vodárny a kanalizace, a. s.– podpora Projektu Kalové hospodářství ČOV Brno-Modřice, zpráva o zahájení jednání o odkupu podílu SUEZ International S. A. S.",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-26-36806.html
